Naam;ISO;Groep
Zwitserduits, Elzassisch;gsw;Europees, > 500 duizend of officieel
Nederduits;nds;Europees, > 500 duizend of officieel
Budza, Buja, Budja;bja;ex-kolonies
Chokwe, Tchokwé, Cokwe;cjk;ex-kolonies
Dendi;deq;ex-kolonies
Fuliiru, Kifuliiru;flr;ex-kolonies
Hamba;hba;ex-kolonies
Joba, Kiviila;job;ex-kolonies
Kinyarwanda, Ikinyarwanda;kin;ex-kolonies
Kituba, Kikongo, Kikongo ya leta;ktu;ex-kolonies
Komo, Kikomo;kmw;ex-kolonies
Kongo;kon;ex-kolonies
Kikongo;kwy;ex-kolonies
Laari;ldi;ex-kolonies
Koongo, Kikongo;kng;ex-kolonies
Lega-Mwenga;lgm;ex-kolonies
Lega-Shabunda;lea;ex-kolonies
Lendu, Bbaledha;led;ex-kolonies
Lingala;lin;ex-kolonies
Lombi;lmi;ex-kolonies
Lugbara;lgg;ex-kolonies
Lunda, Chilunda;lun;ex-kolonies
Mangbetu;mdj;ex-kolonies
Nande, Kinande;nnb;ex-kolonies
Ngbaka, Ngbaka Minagende;nga;ex-kolonies
Nkore, Nyankore, Runyankore;nyn;ex-kolonies
Noordelijk Ngbandi;ngb;ex-kolonies
Rundi, Ikirundi;run;ex-kolonies
Congo Swahili;swc;ex-kolonies
Swahili, Kiswahili;swa;ex-kolonies
Tembo, Chitembo;tbt;ex-kolonies
Tetela, Otetela;tll;ex-kolonies
Tshiluba, Ciluba, Luba-Kasai;lua;ex-kolonies
Yakoma;yky;ex-kolonies
Zande, Pa Zande;zne;ex-kolonies
Zuidelijk Ma'di, Maꞌdi Urúléti;snm;ex-kolonies
Zuidelijk Ngbandi, Ngbandi-Ngiri;nbw;ex-kolonies
Afrikaans;afr;top 100, < 20 mil
Bambara, Bamanankan;bam;top 100, < 20 mil
Cebuano, Sugbuanon, Binisaya;ceb;top 100, < 20 mil
Chhattisgarhi;hne;top 100, < 20 mil
Dioula, Jula, Julakan;dyu;top 100, < 20 mil
Hidjazi Arabisch;acw;top 100, < 20 mil
Kazakhs;kaz;top 100, < 20 mil
Khmer;khm;top 100, < 20 mil
Maleis, Malay;msa;top 100, < 20 mil
Nigeriaans Fulfulde, Fula, Fulani;fuv;top 100, < 20 mil
Noord-Sotho, Sesotho sa Leboa;nso;top 100, < 20 mil
Sadri, Nagpuri;sck;top 100, < 20 mil
San'ani Arabisch;ayn;top 100, < 20 mil
Singalees, Sinhala;sin;top 100, < 20 mil
Somali, Somalisch;som;top 100, < 20 mil
Standaard Maleis, Standaard Malay, Maleisisch;zsm;top 100, < 20 mil
Sylheti, Sileti;syl;top 100, < 20 mil
